,index,index.1,TimeStamp (sec), Horizontal (meters), Cadence (stokes/min), HRCur (bpm), longitude, latitude, Stroke500mPace (sec/500m), Power (watts), DragFactor, DriveLength (meters), StrokeDistance (meters), DriveTime (ms), StrokeRecoveryTime (ms), AverageDriveForce (lbs), PeakDriveForce (lbs), lapIdx, WorkoutState, ElapsedTime (sec),cum_dist, AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an,originalvelo
0,0,0,1731007287.6,7.4,0.0,0.0,0.0,0.0,303.7324319301672,14.101287169388804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.4,1.7140898183064792,0.0,0.0,1.0,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,14.101287169388804,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,1.7140898183064792
1,1,1,1731007290.6,14.4,19.0,0.0,0.0,0.0,240.12543155351173,20.05201999986367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,14.4,1.927525057825752,0.0,0.0,1.0,0,63.32216842062212,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,20.05201999986367,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,1.927525057825752
2,2,2,1731007293.6,22.8,20.0,129.0,0.0,0.0,209.08567540016412,38.28299845811471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,22.8,2.391200382592061,0.0,0.0,1.0,1,114.84899537434414,129.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,38.28299845811471,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.391200382592061
3,3,3,1731007296.6,30.5,20.0,129.0,0.0,0.0,194.5822261078764,58.82927067399343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,30.5,2.7593818984547465,0.0,0.0,1.0,2,176.4878120219803,129.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,58.82927067399343,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.7593818984547465
4,4,4,1731007299.6,38.0,20.0,129.0,0.0,0.0,191.7796352293988,47.714419284706736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,38.0,2.573340195573855,0.0,0.0,1.0,3,143.1432578541202,129.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,47.714419284706736,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.573340195573855
5,5,5,1731007303.1,46.5,20.0,128.0,0.0,0.0,201.9267535482551,38.44824858358584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.5,46.5,2.3946360153256703,0.0,0.0,1.0,5,115.34474575075751,128.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,38.44824858358584,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.3946360153256703
6,6,6,1731007306.1,53.5,20.0,128.0,0.0,0.0,214.24226318672487,35.86364920227784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18.5,53.5,2.339728591483388,0.0,0.0,1.0,6,107.59094760683351,128.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,35.86364920227784,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.339728591483388
7,7,7,1731007309.1,60.3,19.0,128.0,0.0,0.0,220.4170093448953,32.425839095018915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,21.5,60.3,2.262443438914027,0.0,0.0,1.0,7,102.39738661584921,128.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,32.425839095018915,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.262443438914027
8,8,8,1731007312.1,67.0,19.0,128.0,0.0,0.0,224.60319809228076,32.425839095018915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,24.5,67.0,2.262443438914027,0.0,0.0,1.0,8,102.39738661584921,128.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,32.425839095018915,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.262443438914027
9,9,9,1731007315.6,74.60000000000001,18.0,127.0,0.0,0.0,229.9373677371732,27.812428585033818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,28.0,74.60000000000001,2.149613069647464,0.0,0.0,1.0,9,92.70809528344606,127.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,27.812428585033818,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.149613069647464
10,10,10,1731007318.6,80.9,18.0,126.0,0.0,0.0,232.89121779291912,27.812428585033818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,31.0,80.9,2.149613069647464,0.0,0.0,1.0,9,92.70809528344606,126.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,27.812428585033818,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.149613069647464
11,11,11,1731007322.1,88.4,19.0,126.0,0.0,0.0,234.90961108351365,26.66147803021397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,34.5,88.4,2.11954217888936,0.0,0.0,1.0,11,84.19414114804412,126.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,26.66147803021397,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.11954217888936
12,12,12,1731007325.1,94.9,19.0,125.0,0.0,0.0,232.0931079557819,28.24736752144916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,37.5,94.9,2.16076058772688,0.0,0.0,1.0,12,89.20221322562892,125.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,28.24736752144916,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.16076058772688
13,13,13,1731007328.1,101.5,19.0,124.0,0.0,0.0,229.70617972216556,28.24736752144916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,40.5,101.5,2.16076058772688,0.0,0.0,1.0,12,89.20221322562892,124.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,28.24736752144916,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2,2.16076058772688
